"id","user","description","status","priority","category","assignedTo","createdAt"
1,"john@example.com","Encountered an error while submitting a form.","open","high","other","jane@example.com","2023-06-09"
2,"mary@example.com","Cannot login to the system.","open","medium","account","james@example.com","2023-06-09"
3,"peter@example.com","The application crashes when I click on a specific button.","open","low","software","sarah@example.com","2023-06-09"
4,"david@example.com","Billing information is not updating correctly.","closed","high","account","jane@example.com","2023-06-09"
5,"lisa@example.com","The search feature is returning incorrect results.","open","medium","software","james@example.com","2023-06-09"
6,"steve@example.com","Cannot access the admin panel.","open","low","account",,"2023-06-09"
7,"emily@example.com","The application is slow and unresponsive.","closed","high","operations","jane@example.com","2023-06-09"
8,"michael@example.com","Data is not saving properly in the database.","open","medium","software","james@example.com","2023-06-09"
9,"olivia@example.com","The system is generating incorrect reports.","open","low","operations","sarah@example.com","2023-06-09"
10,"andrew@example.com","Unable to upload files to the server.","closed","high","software","jane@example.com","2023-04-09"
11,"sophia@example.com","Missing data in the user profile.","open","medium","account","james@example.com","2023-06-09"
12,"benjamin@example.com","The application freezes frequently.","open","low","operations","sarah@example.com","2023-06-09"
13,"ava@example.com","Error message displayed when trying to process a payment.","closed","high","software","jane@example.com","2023-06-09"
14,"jack@example.com","The system is not sending email notifications.","open","medium","operations","james@example.com","2023-06-09"
15,"harper@example.com","Cannot access the support documentation.","open","low","account","sarah@example.com","2023-06-10"
16,"daniel@example.com","The application is displaying incorrect pricing information.","closed","high","other","jane@example.com","2023-06-10"
17,"mia@example.com","The system crashes when performing a specific action.","open","medium","software","james@example.com","2023-06-10"
18,"ethan@example.com","The search feature is not working at all.","open","low","other","sarah@example.com","2023-06-10"
19,"amelia@example.com","Incorrect data displayed on the dashboard.","closed","high","operations","jane@example.com","2023-06-10"
20,"oliver@example.com","The application throws an error during checkout.","open","medium","software","james@example.com","2023-06-10"
21,"william@example.com","The application is not loading properly in Internet Explorer.","open","low","software","sarah@example.com","2023-06-10"
